time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,i_episode,total_reward
1.8000000000000012,-3.4207523697754145,2.2063258813049997,0.0,0.44140407766822154,4.415571651030493,0.0,-0.8848640730860624,-0.9952185124865812,-16.04129218665017,-3.8406717796187206,3.7319336768481475,0.0,452.38738639587064,416.3137731288478,420.6692268189968,438.7918021942325,1,87.0
1.8000000000000012,-3.410457721921684,2.122891651644079,0.0,0.5067331450401387,4.455983450134491,0.0,-0.7903451215694554,-1.1080245182534139,-15.832512691534689,-3.8194329973406766,3.7750453134286763,0.0,451.9637535219746,413.9269549880933,420.35187408326914,439.18964263236876,2,87.0
1.8600000000000012,-3.107526221210462,1.3495249283966395,0.0,0.2434762955747285,1.2487965935949452,0.0,-0.7986089844970312,1.094921220227795,-13.256573807112058,-10.002117205752445,12.846030554380864,0.0,441.02313724526715,579.384618690605,565.2907798559936,494.45162851939426,3,90.0
1.8000000000000012,-3.932139827209247,1.0305724741272326,0.0,5.3916331607413746,2.227252491426942,0.0,-2.3307847986794945,-0.12631439439871112,-13.447780232384815,-10.455121228595953,13.00903841274037,0.0,441.3123935685379,607.8046589785563,587.0093520236445,508.2041291349125,4,87.0
1.8000000000000012,-4.169256342761805,0.9665839558110185,0.0,2.1606090805948455,5.125253817866108,0.0,-2.3050959021461113,-0.20053389683922593,-13.831437274207543,-14.563726385434487,20.621315631321746,0.0,426.1488990294268,788.3405599003185,753.4612543002137,595.9973271608898,5,87.0
1.8600000000000012,-4.530098607163305,0.9753630612004434,0.0,4.275834902175394,0.9040066492642254,0.0,-1.6449512933357902,-0.7808866689418559,-16.26460575731168,-15.44686067228161,22.89830447071589,0.0,423.90588583512755,779.0076931021118,748.0551673393869,592.244723515805,6,90.0
1.8000000000000012,-4.22713268463112,0.5317600592552884,0.0,0.2466745426160326,0.2772236873035929,0.0,-1.0113785455638988,-0.595824611755903,-14.108436590329259,-15.091572627056454,22.550808964423055,0.0,411.3793017786371,851.9794699785929,831.3600984211035,661.7935075435144,7,87.0
1.8600000000000012,-4.512065214145129,0.746531336508678,0.0,2.6322542389703525,2.32330986155176,0.0,-2.477511352745109,0.5607038976060745,-16.845532731664232,-14.93761019444071,24.93490284744714,0.0,364.17621150441653,894.3478431511115,889.1984764408217,770.8197434494206,8,90.0
1.8000000000000012,-4.281285330757235,0.2324158309986819,0.0,0.8259003641124147,2.021257392742008,0.0,-2.532011829486872,1.6185174066513126,-14.4903370324484,-14.089041375472355,25.023555823634617,0.0,363.44776732430046,887.7047265586577,881.9500641083434,746.0021384071214,9,87.0
1.8000000000000012,-4.251198650750981,0.16186434284946863,0.0,3.8171345336321068,2.55738699861579,0.0,-3.0810271077687057,-1.2800829336993442,-15.380539185291136,-11.379049909619878,26.551179774722772,0.0,305.2689402152336,899.0035072776296,898.8661730596295,854.7455432900263,10,87.0
1.8000000000000012,-4.310046380322304,0.18101811108452864,0.0,0.4358083524012315,2.4112934490899196,0.0,-3.1216098738202813,1.2381429878639445,-13.851933291232896,-11.27205223812542,25.452358501329694,0.0,384.7481235294846,893.7598155797982,890.699376440242,789.6907542212717,11,87.0
1.8000000000000012,-4.426380593239484,0.03621770318840183,0.0,2.6248483703535737,1.574698829956768,0.0,-2.251253382057276,0.7710735748251956,-17.12602242037043,-6.729401399871325,25.735490778900072,0.0,398.9294707651581,899.4295175501657,898.3341900541691,858.2390656370577,12,87.0
1.8600000000000012,-4.834771857438183,-0.2007368066440197,0.0,4.166824096136185,1.003387287738727,0.0,-1.564370196485175,-1.1904128166186663,-17.989902854150124,-3.516997656006057,24.843258729648642,0.0,458.3623091862873,900.5284733938778,899.8551679697141,880.9669194631811,13,90.0
1.8600000000000012,-5.363169788635636,-0.3678805580944445,0.0,4.684647311603808,3.62091868194603,0.0,-4.629683983210852,-0.41114812764745,-16.370133188185967,-2.6894123069501235,23.308691366227592,0.0,523.092339063185,899.0343778068176,899.3313750001859,878.6836140041979,14,90.0
1.9200000000000013,-6.399394342950576,-0.13516384266671633,0.0,5.499417781717414,5.603723786206206,0.0,-2.030803407407504,0.1568718114530368,-16.31862437823788,-1.120010138169374,20.628560013856614,0.0,626.1865227971352,899.7805450324073,899.237972063531,894.7360733183593,15,93.0
2.0400000000000014,-8.547044239108294,0.06450834959400906,0.0,5.801318188189644,0.3133083674741073,0.0,-1.8700401273131155,-0.4908812807980698,-15.066430901396124,-1.1361990769130292,16.0025744445938,0.0,754.2326702061266,900.166819313258,899.8100883749423,898.3401321385492,16,99.0
2.2800000000000016,-13.47440209507946,-0.09801906521406212,0.0,5.977533437346306,2.1098771102728016,0.0,-7.502015854970517,-0.45807721708989674,-14.014415922362335,-1.739403170872137,15.500647046193931,0.0,814.2523736469062,900.2175141776972,899.7486151414082,899.2451184529599,17,111.0
2.2200000000000015,-13.41425172364074,-0.48154564076701273,0.0,5.468941417924409,0.29658953600105953,0.0,-2.1360314733379178,-2.216653404756961,-16.136263284084897,-0.4034307725958734,12.019028438758896,0.0,818.4775714108135,900.2674874485296,900.8316188063031,900.9256072132317,18,108.0
2.4600000000000017,-16.710822730134435,-0.01368210631689953,0.0,0.2347595687496753,1.7944747206366891,0.0,-7.177033178399453,0.41400214129766694,-14.33461429270228,-0.7991387530685768,17.63310620509736,0.0,730.6415154605979,899.7137949193509,899.6334726981587,895.9086818588526,19,120.0
