time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.597614972843894e-08,1.9380611752924314e-07,0.002163065322567685,0.0002042673701740938,6.283093983526701,0.0,6.150764471427319e-06,1.7187809272836295e-05,0.07209970939182203,0.009466905309658425,-0.004754825211778764,0.0,427.89864737902053,427.493787964466,427.8137494280269,428.6188589236157
0.12000000000000001,4.01056277476306e-06,9.616402341717918e-06,0.014257453176970006,0.0011470037544132339,6.2823829085401535,0.0,0.00018019848979183037,0.00039456187129371066,0.3310069394400049,0.025940996095353167,-0.03242301606662046,0.0,484.6655658407957,482.58202932099846,485.2023700648228,486.4372721305607
0.18,3.818044349656865e-05,6.21265734961338e-05,0.03652386531322583,0.0027536378086869817,6.280392302720568,0.0,0.001153699889292028,0.0015124787485576953,0.4111802457289431,0.02839911458595453,-0.034728225918964704,0.0,430.5578381439706,430.3623242513328,430.82361406108294,431.0315527662202
0.23999999999999996,0.00017949275769026023,0.00022337634941375234,0.06637128929971317,0.003929934663046808,6.278700467382155,0.0,0.003766549463142793,0.004039058815214021,0.5836598405966843,-0.01076264602828841,-0.01758599348295948,0.0,458.56070976503645,459.9199710460053,461.36324366629356,458.2613145711308
0.3,0.0005118714711201411,0.0005527742972892658,0.10659490549775083,0.0029537049591548126,6.278108203321455,0.0,0.007401542662445287,0.00685263861775344,0.7570280731722511,-0.03054735796121478,0.0022724317305963066,0.0,458.73381518469,460.30788185369613,461.2039844841838,459.63898116159953
0.36000000000000004,0.0010755554738018183,0.0010258632208400168,0.1580869014649748,0.0009277890101850872,6.277748855469083,0.0,0.011388280614983466,0.008691701225877532,0.9592243766128795,-0.04113350071342574,-0.03271140721169405,0.0,470.72864105096215,468.0140392406378,468.6710607023028,467.8472361676586
0.4200000000000001,0.001883360462233394,0.0015576913510325213,0.21953622649413101,6.2818235134729825,6.276198192656304,0.0,0.01572195389008215,0.008783340841069893,1.0889704340290633,-0.03279319275962746,-0.014788876997193428,0.0,446.0107132691975,447.4717355155081,447.2849277644664,447.96285180637676
0.48000000000000015,0.0029893335400005654,0.0020462646981258335,0.28996685993158045,6.2804518907072175,6.275355788134021,0.0,0.02123965451723552,0.007320945068523403,1.258544858146169,-0.008084475442790257,-0.012583063886209972,0.0,460.1323363915496,460.30702690207033,458.0818940370162,460.042200688501
0.5400000000000001,0.004409527592672926,0.002434172397838864,0.36612481500006266,6.280304048979534,6.274664482022835,0.0,0.026165222174429414,0.00558247612392194,1.2800290520725215,0.006905051513055327,-0.009479478116292276,0.0,412.48051842126483,412.75459407583605,412.44219839158126,413.7638646321082
0.6000000000000002,0.006173806868546544,0.0027060843910247214,0.44779800736674036,6.280867757823383,6.274057854560542,0.0,0.03270773077253748,0.0035366368927419504,1.4422196031139538,0.013960559640341989,-0.01140326368517625,0.0,458.361887674377,458.2091187919236,457.1002888217521,457.6620249795263
0.6600000000000003,0.008341633875473925,0.0028703539023772636,0.5388676877415784,6.281780439220126,6.273392919908593,0.0,0.039625182420881706,0.0020354375577785154,1.5932375037432887,0.017602329517800556,-0.010447815689687221,0.0,455.0352576885334,455.1118576178556,454.46917660443177,454.7608457478689
0.7200000000000003,0.010955222703864002,0.0029641062205537647,0.6406299092841636,6.283182029971421,6.272744732912534,0.0,0.04756636492321689,0.0012367729742569123,1.798535845292253,0.032918836742610424,-0.011523358537932429,0.0,471.14582955590606,471.062805017651,471.43258595367666,472.6145025846027
0.7800000000000004,0.014031905467730732,0.0030460023069041526,0.7519564289348605,0.0020359966564154064,6.272020770988746,0.0,0.05506130857942074,0.0017018753949457474,1.912163824602774,0.03604418324453669,-0.013174069697305358,0.0,444.9108996922547,444.77585973926597,443.75530331579006,444.0122367482744
0.8400000000000004,0.01756542634332309,0.0031976037511115994,0.8693516084454207,0.004163294354959213,6.271222046501698,0.0,0.06280064564972741,0.0035663361630503343,2.000855980382087,0.03424996032722336,-0.01358951576786917,0.0,437.127940133077,437.09343435713225,436.7468740996971,436.59778422637214
0.9000000000000005,0.021603814763933686,0.0035131554039957635,0.994121679442766,0.0060203050795957225,6.270914572341386,0.0,0.07186651364725559,0.007167831395236241,2.1578614430872634,0.02336446061617859,0.007942349637803037,0.0,458.56037555572345,460.2676010261935,457.9337485670904,457.0673732334769
0.9600000000000005,0.02620308064437787,0.004093096012902002,1.1295448973820703,0.0083754169632142,6.271631314970914,0.0,0.08136681296973275,0.012392817065660429,2.3558585186777967,0.05989850688695918,0.018943785027090293,0.0,470.4166630810124,471.26762528075983,470.4036205587077,473.2246924470354
1.0200000000000005,0.03129271936191036,0.00500211706796404,1.2715460418291546,0.011839065095048618,6.2726399864798825,0.0,0.08818977799710612,0.018226821249583754,2.377466165344858,0.052989572307491004,0.012163133003467021,0.0,417.5180445429422,416.92599274948674,416.7855785910542,416.18385789843677
1.0800000000000005,0.03682875681159388,0.006389122140754355,1.4200940178380541,0.015476269561693456,6.273725636375904,0.0,0.09623232428849617,0.028401269511878074,2.5737082229866295,0.07265322714785465,0.027893562524283877,0.0,470.74165012604504,471.9572076632979,471.3127328118299,472.83228983921094
1.1400000000000006,0.04282737267331305,0.008493108538667176,1.5814237585598077,0.019579574292034607,6.275277205340377,0.0,0.10352053862953182,0.04223769738689171,2.8034087555485896,0.05809831282426139,0.021445396708512976,0.0,482.1212590302092,481.6339050693223,483.3784024385599,482.28341909027705
